response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
4.0589,0.6644,0.0793,0.0001,3.3941,0.0003,500,0.0031
4.0598,0.7045,0.0797,0.0001,3.3551,0.0001,500,0.0026
4.0664,0.7721,0.0799,0.0001,3.2941,0.0002,500,0.0028
4.0820,0.6458,0.0801,0.0001,3.4360,0.0001,500,0.0026
4.0871,0.6657,0.0804,0.0001,3.4211,0.0002,500,0.0024
4.1001,0.7385,0.0794,0.0001,3.3614,0.0001,500,0.0032
4.6953,0.6798,0.0795,0.0001,4.0152,0.0002,500,0.0029
4.7070,0.6549,0.0797,0.0001,4.0519,0.0001,500,0.0023
5.0866,0.6097,0.0790,0.0001,4.4767,0.0001,500,0.0033
5.0878,0.6691,0.0799,0.0001,4.4183,0.0002,500,0.0022
5.0876,0.6111,0.0798,0.0001,4.4761,0.0002,500,0.0025
5.0873,0.6457,0.0799,0.0001,4.4414,0.0001,500,0.0027
5.0922,0.6592,0.0804,0.0001,4.4328,0.0001,500,0.0026
5.0915,0.6612,0.0795,0.0001,4.4301,0.0001,500,0.0034
5.6997,0.6415,0.0805,0.0001,5.0579,0.0001,500,0.0025
6.1066,0.6146,0.0795,0.0001,5.4917,0.0002,500,0.0029
6.1084,0.6489,0.0799,0.0001,5.4592,0.0001,500,0.0029
6.1118,0.7167,0.0800,0.0001,5.3949,0.0001,500,0.0022
6.1107,0.6108,0.0790,0.0001,5.4997,0.0001,500,0.0033
6.1114,0.6113,0.0800,0.0001,5.4998,0.0001,500,0.0027
6.1118,0.6104,0.0788,0.0001,5.4999,0.0013,500,0.0033
6.1165,0.6704,0.0796,0.0001,5.4459,0.0002,500,0.0029
6.1164,0.6453,0.0795,0.0001,5.4709,0.0001,500,0.0031
6.1161,0.6927,0.0794,0.0001,5.4231,0.0002,500,0.0034
6.1174,0.6468,0.0799,0.0001,5.4703,0.0001,500,0.0022
6.1170,0.7544,0.0804,0.0000,5.3624,0.0001,500,0.0026
6.1171,0.7445,0.0805,0.0001,5.3724,0.0001,500,0.0025
6.1168,0.6912,0.0792,0.0001,5.4253,0.0001,500,0.0030
6.7206,0.6104,0.0798,0.0000,6.1100,0.0001,200,0.0028
6.7226,0.6108,0.0801,0.0001,6.1115,0.0001,200,0.0023
6.7244,0.7144,0.0796,0.0001,6.0098,0.0001,200,0.0032
6.7245,0.6108,0.0793,0.0001,6.1134,0.0002,200,0.0032
6.7250,0.6110,0.0801,0.0000,6.1138,0.0001,200,0.0027
6.7249,0.6112,0.0796,0.0001,6.1134,0.0002,200,0.0028
6.7245,0.6103,0.0784,0.0000,6.1138,0.0001,200,0.0032
6.7255,0.7167,0.0800,0.0001,6.0086,0.0001,200,0.0023
6.7248,0.6791,0.0798,0.0001,6.0455,0.0001,200,0.0030
6.7246,0.7413,0.0795,0.0001,5.9830,0.0002,200,0.0032
6.7252,0.6787,0.0795,0.0001,6.0463,0.0001,200,0.0035
6.7260,0.6649,0.0798,0.0001,6.0609,0.0001,200,0.0026
6.7262,0.6856,0.0795,0.0001,6.0404,0.0001,200,0.0025
6.7257,0.6563,0.0790,0.0001,6.0690,0.0002,200,0.0030
6.7311,0.6824,0.0795,0.0001,6.0484,0.0002,500,0.0031
7.2426,0.6099,0.0792,0.0001,6.6324,0.0001,503,0.0031
7.2464,0.6102,0.0797,0.0001,6.6360,0.0002,503,0.0030
