response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
4.9297,0.5038,0.0286,0.0000,4.4255,0.0003,500,0.0034
5.6019,0.5117,0.0295,0.0001,5.0899,0.0002,500,0.0029
5.6050,0.5425,0.0287,0.0000,5.0623,0.0001,500,0.0032
5.6074,0.5095,0.0291,0.0001,5.0977,0.0002,500,0.0031
5.6189,0.5541,0.0299,0.0001,5.0644,0.0001,500,0.0021
5.6179,0.5470,0.0291,0.0001,5.0707,0.0002,500,0.0031
5.6186,0.5600,0.0298,0.0001,5.0582,0.0002,500,0.0025
5.6185,0.5761,0.0297,0.0001,5.0422,0.0001,500,0.0027
5.6182,0.5129,0.0288,0.0001,5.1046,0.0006,500,0.0032
5.6189,0.5427,0.0287,0.0001,5.0760,0.0001,500,0.0025
5.6196,0.4719,0.0298,0.0001,5.1474,0.0001,500,0.0023
5.6231,0.5028,0.0288,0.0001,5.1201,0.0001,500,0.0024
5.6269,0.5420,0.0299,0.0001,5.0847,0.0001,500,0.0026
6.6002,0.4827,0.0287,0.0001,6.1174,0.0001,500,0.0030
6.6019,0.4451,0.0283,0.0006,6.1560,0.0001,500,0.0033
6.7205,0.4642,0.0295,0.0001,6.2561,0.0001,500,0.0029
6.7208,0.5094,0.0283,0.0001,6.2112,0.0001,500,0.0032
6.7214,0.5344,0.0296,0.0001,6.1867,0.0002,500,0.0027
6.7233,0.5258,0.0298,0.0001,6.1973,0.0001,500,0.0022
6.7236,0.5586,0.0297,0.0001,6.1647,0.0001,500,0.0024
6.7253,0.5431,0.0297,0.0001,6.1819,0.0001,500,0.0021
6.7244,0.5759,0.0289,0.0001,6.1483,0.0001,500,0.0030
6.7246,0.6108,0.0284,0.0001,6.1135,0.0001,500,0.0028
6.7249,0.5476,0.0296,0.0001,6.1771,0.0002,500,0.0025
6.7250,0.4910,0.0295,0.0001,6.2338,0.0002,500,0.0024
6.7242,0.5778,0.0287,0.0001,6.1461,0.0001,500,0.0033
6.7246,0.5932,0.0295,0.0001,6.1312,0.0001,500,0.0029
6.7254,0.4905,0.0298,0.0001,6.2347,0.0001,500,0.0023
6.7258,0.5360,0.0294,0.0001,6.1895,0.0001,500,0.0024
6.7261,0.6045,0.0297,0.0001,6.1214,0.0001,500,0.0021
6.7256,0.5138,0.0297,0.0001,6.2116,0.0001,500,0.0026
6.7256,0.5557,0.0297,0.0001,6.1696,0.0001,500,0.0027
6.7252,0.4506,0.0288,0.0001,6.2744,0.0001,500,0.0032
6.7252,0.4733,0.0286,0.0001,6.2516,0.0002,500,0.0031
6.7257,0.5165,0.0296,0.0001,6.2090,0.0001,500,0.0026
6.7267,0.4503,0.0281,0.0001,6.2763,0.0001,500,0.0034
6.7269,0.4984,0.0285,0.0001,6.2281,0.0001,500,0.0034
6.7275,0.6158,0.0289,0.0001,6.1114,0.0001,500,0.0028
7.1085,0.4508,0.0287,0.0000,6.6575,0.0002,503,0.0031
7.1241,0.4526,0.0289,0.0001,6.6713,0.0001,503,0.0025
7.1258,0.4715,0.0297,0.0001,6.6542,0.0001,503,0.0023
7.1303,0.4712,0.0285,0.0001,6.6588,0.0002,503,0.0032
7.1379,0.4826,0.0282,0.0001,6.6550,0.0001,503,0.0035
7.1707,0.4875,0.0297,0.0001,6.6829,0.0002,503,0.0025
7.1747,0.4999,0.0298,0.0001,6.6745,0.0002,503,0.0021
7.1775,0.4921,0.0285,0.0001,6.6852,0.0001,503,0.0033
7.1785,0.5114,0.0296,0.0001,6.6669,0.0001,503,0.0025
7.1815,0.5217,0.0299,0.0001,6.6596,0.0001,503,0.0026
7.1809,0.4727,0.0287,0.0001,6.7080,0.0001,503,0.0033
7.1810,0.4579,0.0282,0.0001,6.7227,0.0001,503,0.0032
7.1821,0.4632,0.0299,0.0001,6.7186,0.0001,503,0.0022
7.1849,0.5296,0.0291,0.0001,6.6551,0.0001,503,0.0031
7.1870,0.5103,0.0299,0.0001,6.6764,0.0001,503,0.0022
7.1945,0.5196,0.0289,0.0001,6.6746,0.0001,503,0.0032
7.1957,0.5143,0.0296,0.0001,6.6813,0.0001,503,0.0027
7.1961,0.5043,0.0294,0.0001,6.6916,0.0001,503,0.0024
7.2037,0.5099,0.0294,0.0001,6.6935,0.0002,503,0.0028
7.2093,0.4927,0.0290,0.0001,6.7164,0.0001,503,0.0030
7.2911,0.5269,0.0294,0.0001,6.7641,0.0001,503,0.0029
7.2945,0.5321,0.0292,0.0001,6.7621,0.0002,503,0.0025
7.2941,0.5228,0.0285,0.0001,6.7710,0.0002,503,0.0030
7.2950,0.4995,0.0293,0.0001,6.7951,0.0001,503,0.0023
7.2990,0.5425,0.0297,0.0001,6.7562,0.0001,503,0.0027
7.2987,0.5445,0.0289,0.0001,6.7540,0.0001,503,0.0030
7.3032,0.5556,0.0288,0.0001,6.7474,0.0001,503,0.0030
7.3046,0.5712,0.0296,0.0001,6.7332,0.0001,503,0.0028
7.3090,0.5642,0.0287,0.0001,6.7446,0.0001,503,0.0031
7.3145,0.5395,0.0297,0.0001,6.7747,0.0001,503,0.0022
7.3205,0.5584,0.0299,0.0001,6.7619,0.0001,503,0.0026
7.3217,0.5804,0.0288,0.0001,6.7411,0.0001,503,0.0033
7.3253,0.5362,0.0297,0.0001,6.7888,0.0002,503,0.0025
7.3252,0.5469,0.0299,0.0001,6.7781,0.0001,503,0.0026
7.3250,0.5700,0.0286,0.0001,6.7547,0.0001,503,0.0028
7.3256,0.5794,0.0299,0.0001,6.7459,0.0002,503,0.0023
7.3335,0.5935,0.0298,0.0001,6.7398,0.0001,503,0.0025
7.3377,0.5466,0.0278,0.0002,6.7909,0.0001,503,0.0034
7.3379,0.5231,0.0282,0.0001,6.8145,0.0001,503,0.0033
7.3389,0.5302,0.0298,0.0001,6.8086,0.0001,503,0.0023
7.3386,0.5589,0.0296,0.0001,6.7796,0.0000,503,0.0027
7.3428,0.5587,0.0297,0.0001,6.7839,0.0001,503,0.0023
7.3464,0.5829,0.0292,0.0001,6.7632,0.0001,503,0.0024
7.3523,0.6097,0.0297,0.0001,6.7421,0.0001,503,0.0018
7.3553,0.5928,0.0298,0.0001,6.7621,0.0002,503,0.0019
7.3851,0.5925,0.0295,0.0001,6.7924,0.0001,503,0.0024
7.3870,0.5679,0.0296,0.0001,6.8188,0.0001,503,0.0028
7.3869,0.5789,0.0294,0.0001,6.8077,0.0002,503,0.0029
7.3901,0.5629,0.0295,0.0001,6.8270,0.0001,503,0.0028
7.3906,0.5540,0.0296,0.0001,6.8363,0.0002,503,0.0024
7.3903,0.6051,0.0295,0.0000,6.7850,0.0002,503,0.0027
7.3906,0.6076,0.0284,0.0001,6.7827,0.0002,503,0.0025
7.3918,0.6039,0.0296,0.0001,6.7878,0.0000,503,0.0027
7.3949,0.5806,0.0287,0.0001,6.8140,0.0002,503,0.0031
7.3961,0.6105,0.0289,0.0001,6.7855,0.0001,503,0.0032
7.3965,0.6132,0.0294,0.0001,6.7831,0.0001,503,0.0029
7.3975,0.5543,0.0298,0.0001,6.8428,0.0001,503,0.0019
7.3965,0.6177,0.0294,0.0001,6.7786,0.0001,503,0.0029
7.3985,0.6027,0.0297,0.0001,6.7955,0.0001,503,0.0027
7.3982,0.6171,0.0290,0.0001,6.7809,0.0001,503,0.0031
7.4015,0.5877,0.0296,0.0001,6.8137,0.0001,503,0.0024
7.4018,0.5938,0.0299,0.0001,6.8078,0.0001,503,0.0023
5.7610,0.6894,0.1607,0.0000,5.0714,0.0001,500,4.9332
4.2169,0.5911,0.0660,0.0001,3.6255,0.0001,500,6.7303
4.2283,0.5689,0.0020,0.0001,3.6592,0.0001,500,6.7282
4.2540,0.5740,0.0070,0.0000,3.6798,0.0001,500,6.7234
5.9952,0.5713,0.0202,0.0001,5.4236,0.0001,500,5.6215
5.9957,0.5718,0.0206,0.0000,5.4237,0.0001,500,5.6211
5.9951,0.5709,0.0198,0.0000,5.4241,0.0001,500,5.6220
6.0142,0.5822,0.0312,0.0001,5.4317,0.0001,500,5.6105
6.0172,0.5845,0.0335,0.0001,5.4324,0.0001,500,5.6082
4.7957,0.5151,0.0155,0.0001,4.2802,0.0002,500,7.1267
4.7918,0.5075,0.0007,0.0001,4.2841,0.0001,500,7.1414
4.7588,0.5909,0.1139,0.0001,4.1670,0.0007,500,7.1808
4.8160,0.5207,0.0140,0.0001,4.2951,0.0001,500,7.1281
4.6231,0.4705,0.0302,0.0001,4.1523,0.0001,500,7.3413
5.2483,0.5714,0.0045,0.0001,4.6766,0.0002,500,6.7259
5.3809,0.6943,0.1273,0.0001,4.6864,0.0001,500,6.6032
5.2757,0.6031,0.0002,0.0001,4.6723,0.0001,500,6.7302
5.2909,0.5832,0.0065,0.0001,4.7074,0.0001,500,6.7240
6.9529,0.5630,0.0121,0.0001,6.3897,0.0001,500,5.6295
6.9971,0.5674,0.0205,0.0001,6.4295,0.0002,500,5.6212
7.2196,0.5716,0.0207,0.0001,6.6478,0.0001,503,5.6210
7.2234,0.5672,0.0163,0.0001,6.6560,0.0001,503,5.6255
7.2420,0.5713,0.0203,0.0001,6.6703,0.0001,503,5.6213
