response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.5762,0.1220,0.0005,0.0002,0.4540,0.0001,400,0.0029
0.5762,0.1232,0.0005,0.0001,0.4527,0.0001,400,0.0031
0.5769,0.1225,0.0009,0.0001,0.4541,0.0001,400,0.0024
0.5836,0.1226,0.0010,0.0002,0.4607,0.0001,400,0.0023
0.5921,0.1373,0.0011,0.0002,0.4509,0.0038,400,0.0025
0.5926,0.1435,0.0013,0.0001,0.4452,0.0038,400,0.0021
0.5917,0.1477,0.0006,0.0001,0.4438,0.0001,400,0.0031
0.6056,0.1486,0.0013,0.0001,0.4568,0.0001,400,0.0023
0.6055,0.1592,0.0012,0.0001,0.4461,0.0002,400,0.0025
0.6051,0.1591,0.0004,0.0001,0.4456,0.0003,400,0.0032
0.6132,0.1840,0.0008,0.0001,0.4290,0.0001,400,0.0031
0.6214,0.1907,0.0007,0.0001,0.4305,0.0002,400,0.0031
0.6213,0.1955,0.0005,0.0002,0.4254,0.0001,400,0.0033
0.6221,0.1778,0.0010,0.0001,0.4441,0.0001,400,0.0025
0.6223,0.1645,0.0011,0.0001,0.4576,0.0001,400,0.0024
0.6348,0.2028,0.0007,0.0001,0.4317,0.0002,400,0.0030
0.6346,0.1959,0.0006,0.0001,0.4252,0.0134,400,0.0032
0.6415,0.2154,0.0013,0.0001,0.4259,0.0001,400,0.0025
0.6420,0.2157,0.0012,0.0001,0.4260,0.0001,400,0.0021
0.6519,0.2214,0.0012,0.0001,0.4198,0.0105,400,0.0025
0.6596,0.2319,0.0012,0.0001,0.4268,0.0008,400,0.0024
0.6658,0.2393,0.0012,0.0001,0.4222,0.0042,400,0.0024
0.6700,0.2530,0.0011,0.0001,0.4169,0.0001,400,0.0030
0.6702,0.2601,0.0012,0.0001,0.4099,0.0001,400,0.0028
0.6809,0.2672,0.0007,0.0001,0.4136,0.0001,400,0.0026
0.6811,0.2810,0.0007,0.0001,0.3999,0.0001,400,0.0024
0.6872,0.3002,0.0006,0.0001,0.3868,0.0001,400,0.0032
0.6875,0.2949,0.0010,0.0000,0.3924,0.0002,400,0.0030
0.6879,0.2760,0.0008,0.0001,0.4109,0.0008,400,0.0031
0.6902,0.2953,0.0013,0.0001,0.3947,0.0001,400,0.0025
0.6902,0.3146,0.0013,0.0000,0.3755,0.0001,400,0.0025
0.6898,0.3128,0.0008,0.0001,0.3769,0.0001,400,0.0030
0.7023,0.3228,0.0011,0.0001,0.3792,0.0002,400,0.0030
0.7028,0.3298,0.0011,0.0001,0.3728,0.0001,400,0.0028
0.7030,0.3366,0.0008,0.0001,0.3663,0.0001,400,0.0026
0.7060,0.3434,0.0014,0.0001,0.3624,0.0001,400,0.0026
0.7062,0.3616,0.0015,0.0001,0.3445,0.0001,400,0.0026
0.7110,0.3623,0.0013,0.0001,0.3436,0.0051,400,0.0028
0.7152,0.3705,0.0014,0.0001,0.3444,0.0002,400,0.0026
0.7150,0.3772,0.0012,0.0001,0.3375,0.0001,400,0.0029
0.7154,0.3703,0.0013,0.0001,0.3444,0.0006,400,0.0029
0.7189,0.3825,0.0014,0.0001,0.3361,0.0002,400,0.0026
0.7191,0.4024,0.0013,0.0001,0.3164,0.0001,400,0.0024
0.7185,0.3965,0.0007,0.0008,0.3210,0.0002,400,0.0031
0.7198,0.3979,0.0007,0.0003,0.3209,0.0004,400,0.0019
0.7237,0.4196,0.0013,0.0001,0.3039,0.0001,400,0.0029
0.7242,0.4077,0.0010,0.0001,0.3161,0.0003,400,0.0026
0.7233,0.4197,0.0019,0.0001,0.3034,0.0001,400,0.0035
0.7370,0.4280,0.0021,0.0001,0.3087,0.0001,400,0.0035
0.7380,0.4441,0.0015,0.0001,0.2937,0.0001,400,0.0025
0.7386,0.4354,0.0015,0.0001,0.3028,0.0001,400,0.0019
0.7420,0.4484,0.0013,0.0001,0.2934,0.0001,400,0.0028
0.7543,0.4627,0.0008,0.0001,0.2914,0.0002,400,0.0033
0.7543,0.4549,0.0008,0.0001,0.2991,0.0002,400,0.0033
0.7548,0.4752,0.0012,0.0001,0.2795,0.0001,400,0.0029
0.7589,0.4639,0.0015,0.0001,0.2909,0.0040,400,0.0027
0.7590,0.4699,0.0015,0.0000,0.2850,0.0040,400,0.0027
0.7609,0.4897,0.0013,0.0001,0.2709,0.0001,400,0.0028
0.7647,0.4975,0.0015,0.0001,0.2670,0.0001,400,0.0026
0.7653,0.5135,0.0021,0.0001,0.2516,0.0001,400,0.0036
0.7660,0.4970,0.0013,0.0001,0.2689,0.0001,400,0.0029
0.7781,0.5270,0.0014,0.0001,0.2510,0.0001,400,0.0028
0.7775,0.5264,0.0021,0.0001,0.2509,0.0001,400,0.0034
0.7800,0.5362,0.0021,0.0001,0.2436,0.0001,400,0.0033
0.7801,0.5363,0.0024,0.0000,0.2411,0.0027,400,0.0033
0.7802,0.5529,0.0023,0.0001,0.2271,0.0001,400,0.0034
0.7825,0.5608,0.0021,0.0001,0.2216,0.0001,400,0.0034
0.7835,0.5678,0.0011,0.0002,0.2153,0.0001,400,0.0025
0.7832,0.5675,0.0014,0.0001,0.2155,0.0001,400,0.0028
0.7865,0.5725,0.0024,0.0001,0.2138,0.0001,400,0.0033
0.9043,0.6669,0.0015,0.0001,0.2373,0.0001,400,0.0027
0.9070,0.6885,0.0006,0.0001,0.2174,0.0010,400,0.0032
1.0100,0.7886,0.0013,0.0001,0.2213,0.0001,400,0.0024
1.1049,0.8156,0.0007,0.0001,0.2550,0.0342,400,0.0031
1.1057,0.8099,0.0012,0.0001,0.2614,0.0343,400,0.0024
1.1331,0.8056,0.0005,0.0002,0.3242,0.0031,400,0.0033
1.1757,0.8225,0.0010,0.0001,0.3110,0.0421,400,0.0029
1.3344,0.9162,0.0014,0.0001,0.4145,0.0037,400,0.0023
1.3383,0.9167,0.0013,0.0001,0.4175,0.0039,400,0.0022
1.3374,0.9167,0.0005,0.0000,0.4167,0.0039,400,0.0032
1.3387,0.9169,0.0003,0.0001,0.4175,0.0041,400,0.0019
1.3432,0.9178,0.0013,0.0000,0.4205,0.0048,400,0.0021
1.3703,0.9450,0.0005,0.0001,0.4251,0.0001,400,0.0032
1.3713,0.9460,0.0013,0.0001,0.4251,0.0001,400,0.0022
1.3710,0.9457,0.0007,0.0001,0.4251,0.0001,400,0.0026
1.3914,0.9547,0.0014,0.0001,0.4365,0.0001,400,0.0026
1.3918,0.9549,0.0012,0.0001,0.4365,0.0001,400,0.0022
1.3908,0.9540,0.0007,0.0001,0.4366,0.0001,400,0.0032
1.4015,0.9585,0.0009,0.0001,0.4427,0.0002,400,0.0029
1.4022,0.9592,0.0013,0.0000,0.4426,0.0002,400,0.0022
1.4017,0.9588,0.0010,0.0001,0.4427,0.0001,400,0.0028
1.4350,0.9924,0.0023,0.0001,0.4376,0.0050,400,0.0029
1.4428,0.9869,0.0013,0.0001,0.4432,0.0125,400,0.0027
1.4676,0.9978,0.0024,0.0000,0.4584,0.0114,400,0.0034
0.8954,0.4377,0.0006,0.0001,0.4575,0.0001,400,0.5793
1.4719,0.9986,0.0015,0.0000,0.4694,0.0038,400,0.0027
1.4714,0.9978,0.0023,0.0001,0.4638,0.0097,400,0.0033
1.4730,0.9991,0.0023,0.0001,0.4694,0.0041,400,0.0019
