response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1234,0.0580,0.0000,0.0002,0.0650,0.0001,200,0.0017
0.1396,0.0605,0.0000,0.0001,0.0789,0.0001,200,0.0019
0.1447,0.0622,0.0000,0.0001,0.0821,0.0002,200,0.0014
0.1460,0.0615,0.0000,0.0001,0.0842,0.0001,200,0.0023
0.1466,0.0619,0.0000,0.0002,0.0842,0.0001,200,0.0017
0.1488,0.0620,0.0000,0.0001,0.0865,0.0001,200,0.0017
0.1489,0.0621,0.0000,0.0000,0.0867,0.0000,200,0.0019
0.1488,0.0619,0.0000,0.0001,0.0867,0.0001,200,0.0021
0.1496,0.0626,0.0000,0.0000,0.0867,0.0001,200,0.0013
0.1484,0.0666,0.0000,0.0001,0.0815,0.0001,200,0.0025
0.1489,0.0619,0.0000,0.0002,0.0867,0.0001,200,0.0020
0.1501,0.0684,0.0000,0.0001,0.0814,0.0001,200,0.0030
0.1506,0.0680,0.0000,0.0001,0.0824,0.0000,200,0.0026
0.1504,0.0678,0.0000,0.0001,0.0824,0.0001,200,0.0028
0.1499,0.0692,0.0000,0.0001,0.0806,0.0001,200,0.0034
0.1503,0.0686,0.0000,0.0001,0.0816,0.0001,200,0.0030
0.1536,0.0639,0.0000,0.0001,0.0895,0.0001,200,0.0020
0.1536,0.0715,0.0000,0.0001,0.0818,0.0001,200,0.0022
0.1542,0.0638,0.0000,0.0001,0.0901,0.0001,200,0.0016
0.1532,0.0689,0.0000,0.0000,0.0841,0.0001,200,0.0026
0.1541,0.0640,0.0000,0.0001,0.0896,0.0001,200,0.0017
0.1535,0.0636,0.0000,0.0001,0.0898,0.0001,200,0.0023
0.1545,0.0715,0.0000,0.0001,0.0828,0.0001,200,0.0034
0.1556,0.0712,0.0000,0.0001,0.0842,0.0001,200,0.0025
0.1550,0.0719,0.0000,0.0001,0.0829,0.0001,200,0.0031
0.1555,0.0698,0.0000,0.0001,0.0854,0.0001,200,0.0027
0.1553,0.0709,0.0000,0.0000,0.0843,0.0000,200,0.0028
0.1558,0.0643,0.0000,0.0001,0.0913,0.0001,200,0.0023
0.1571,0.0647,0.0000,0.0001,0.0921,0.0001,200,0.0011
0.1568,0.0649,0.0000,0.0001,0.0913,0.0003,200,0.0016
0.1561,0.0691,0.0000,0.0001,0.0868,0.0000,200,0.0025
0.1567,0.0676,0.0000,0.0002,0.0888,0.0000,200,0.0018
0.1620,0.0712,0.0000,0.0001,0.0905,0.0001,200,0.0012
0.1620,0.0726,0.0000,0.0001,0.0891,0.0001,200,0.0037
0.1644,0.0728,0.0000,0.0001,0.0913,0.0001,200,0.0035
0.1659,0.0754,0.0000,0.0001,0.0902,0.0001,200,0.0042
0.1657,0.0755,0.0000,0.0000,0.0900,0.0001,200,0.0043
0.1660,0.0754,0.0000,0.0001,0.0903,0.0001,200,0.0042
0.1669,0.0732,0.0000,0.0001,0.0936,0.0000,200,0.0032
0.1692,0.0733,0.0000,0.0001,0.0956,0.0001,200,0.0030
0.1691,0.0735,0.0000,0.0001,0.0954,0.0001,200,0.0030
0.1684,0.0757,0.0000,0.0002,0.0923,0.0001,200,0.0038
0.1694,0.0736,0.0000,0.0001,0.0956,0.0001,200,0.0029
0.1680,0.0764,0.0000,0.0011,0.0903,0.0001,200,0.0043
0.1695,0.0734,0.0000,0.0005,0.0954,0.0001,200,0.0028
0.1696,0.0733,0.0000,0.0003,0.0959,0.0001,200,0.0030
0.1732,0.0737,0.0000,0.0001,0.0994,0.0001,200,0.0028
0.1713,0.0784,0.0000,0.0000,0.0927,0.0001,200,0.0047
0.1726,0.0761,0.0000,0.0001,0.0962,0.0001,200,0.0034
0.1717,0.0778,0.0000,0.0009,0.0929,0.0001,200,0.0043
0.1721,0.0781,0.0000,0.0000,0.0938,0.0001,200,0.0040
0.1721,0.0776,0.0000,0.0003,0.0941,0.0001,200,0.0040
0.1735,0.0739,0.0000,0.0001,0.0994,0.0001,200,0.0026
0.1735,0.0738,0.0000,0.0001,0.0993,0.0003,200,0.0027
0.1759,0.0786,0.0000,0.0001,0.0971,0.0001,200,0.0048
0.1768,0.0789,0.0000,0.0001,0.0977,0.0000,200,0.0040
0.1777,0.0764,0.0000,0.0001,0.1009,0.0002,200,0.0031
0.1761,0.0785,0.0000,0.0001,0.0974,0.0001,200,0.0049
0.1779,0.0788,0.0000,0.0001,0.0986,0.0004,200,0.0032
0.1768,0.0787,0.0000,0.0001,0.0979,0.0001,200,0.0046
0.1772,0.0790,0.0000,0.0000,0.0980,0.0000,200,0.0042
0.1774,0.0793,0.0000,0.0001,0.0979,0.0001,200,0.0040
0.1787,0.0768,0.0000,0.0001,0.1017,0.0001,200,0.0028
