response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1167,0.0579,0.0000,0.0002,0.0582,0.0003,200,0.0011
0.1193,0.0609,0.0000,0.0001,0.0580,0.0001,200,0.0011
0.1235,0.0614,0.0000,0.0002,0.0618,0.0001,200,0.0015
0.1255,0.0616,0.0000,0.0001,0.0635,0.0001,200,0.0013
0.1285,0.0641,0.0000,0.0002,0.0638,0.0002,200,0.0014
0.1326,0.0672,0.0000,0.0000,0.0652,0.0001,200,0.0020
0.1327,0.0669,0.0000,0.0001,0.0656,0.0001,200,0.0022
0.1327,0.0667,0.0000,0.0001,0.0657,0.0001,200,0.0023
0.1324,0.0665,0.0000,0.0001,0.0655,0.0002,200,0.0026
0.1326,0.0667,0.0000,0.0001,0.0655,0.0001,200,0.0024
0.1331,0.0669,0.0000,0.0001,0.0659,0.0001,200,0.0020
0.1354,0.0672,0.0000,0.0003,0.0677,0.0001,200,0.0018
0.1365,0.0673,0.0000,0.0002,0.0689,0.0001,200,0.0018
0.1363,0.0670,0.0000,0.0001,0.0690,0.0001,200,0.0020
0.1415,0.0729,0.0000,0.0000,0.0684,0.0001,200,0.0024
0.1421,0.0725,0.0000,0.0003,0.0693,0.0001,200,0.0029
0.1429,0.0729,0.0000,0.0001,0.0698,0.0001,200,0.0023
0.1423,0.0724,0.0000,0.0001,0.0697,0.0001,200,0.0028
0.1430,0.0731,0.0000,0.0001,0.0697,0.0001,200,0.0022
0.1431,0.0729,0.0000,0.0002,0.0700,0.0000,200,0.0022
0.1428,0.0728,0.0000,0.0001,0.0697,0.0001,200,0.0025
0.1423,0.0725,0.0000,0.0000,0.0696,0.0001,200,0.0031
0.1421,0.0722,0.0000,0.0000,0.0698,0.0000,200,0.0032
0.1428,0.0728,0.0000,0.0002,0.0697,0.0000,200,0.0026
0.1443,0.0729,0.0000,0.0001,0.0711,0.0001,200,0.0030
0.1443,0.0725,0.0000,0.0001,0.0716,0.0001,200,0.0030
0.1452,0.0731,0.0000,0.0002,0.0717,0.0001,200,0.0022
0.1442,0.0727,0.0000,0.0000,0.0714,0.0001,200,0.0032
0.1444,0.0727,0.0000,0.0003,0.0713,0.0001,200,0.0030
0.1448,0.0727,0.0000,0.0002,0.0718,0.0000,200,0.0027
0.1446,0.0727,0.0000,0.0001,0.0716,0.0000,200,0.0030
0.1453,0.0734,0.0000,0.0003,0.0715,0.0001,200,0.0023
0.1486,0.0729,0.0000,0.0001,0.0755,0.0001,200,0.0029
0.1494,0.0732,0.0000,0.0002,0.0759,0.0000,200,0.0022
0.1490,0.0731,0.0000,0.0001,0.0757,0.0001,200,0.0026
0.1498,0.0736,0.0000,0.0002,0.0758,0.0001,200,0.0019
0.1492,0.0732,0.0000,0.0001,0.0758,0.0001,200,0.0025
0.1503,0.0734,0.0000,0.0001,0.0760,0.0007,200,0.0019
0.1507,0.0732,0.0000,0.0000,0.0773,0.0001,200,0.0027
0.1513,0.0736,0.0000,0.0000,0.0772,0.0001,200,0.0021
0.1513,0.0737,0.0000,0.0002,0.0774,0.0000,200,0.0021
0.1514,0.0736,0.0000,0.0001,0.0776,0.0001,200,0.0021
0.1512,0.0734,0.0000,0.0001,0.0776,0.0001,200,0.0023
0.1501,0.0783,0.0000,0.0001,0.0717,0.0001,200,0.0034
0.1514,0.0734,0.0000,0.0002,0.0778,0.0000,200,0.0023
0.1527,0.0796,0.0000,0.0010,0.0721,0.0001,200,0.0036
0.1546,0.0738,0.0000,0.0001,0.0804,0.0000,200,0.0019
0.1533,0.0733,0.0000,0.0001,0.0798,0.0001,200,0.0031
0.1534,0.0733,0.0000,0.0001,0.0799,0.0001,200,0.0031
0.1539,0.0738,0.0000,0.0001,0.0799,0.0001,200,0.0026
0.1531,0.0783,0.0000,0.0001,0.0745,0.0000,200,0.0036
0.1541,0.0739,0.0000,0.0001,0.0800,0.0000,200,0.0026
0.1536,0.0733,0.0000,0.0000,0.0802,0.0000,200,0.0031
0.1551,0.0739,0.0000,0.0001,0.0810,0.0001,200,0.0025
0.1552,0.0741,0.0000,0.0000,0.0810,0.0001,200,0.0024
0.1544,0.0786,0.0000,0.0000,0.0756,0.0001,200,0.0032
0.1585,0.0806,0.0000,0.0006,0.0771,0.0001,200,0.0026
0.1591,0.0742,0.0000,0.0000,0.0847,0.0001,200,0.0020
0.1581,0.0810,0.0000,0.0004,0.0765,0.0000,200,0.0031
0.1599,0.0744,0.0000,0.0000,0.0852,0.0001,200,0.0013
0.1597,0.0825,0.0000,0.0001,0.0769,0.0001,200,0.0030
0.1592,0.0810,0.0000,0.0001,0.0780,0.0001,200,0.0036
0.1593,0.0808,0.0000,0.0006,0.0779,0.0001,200,0.0035
0.1594,0.0823,0.0000,0.0001,0.0768,0.0001,200,0.0035
0.1634,0.0815,0.0000,0.0011,0.0806,0.0001,200,0.0034
0.1641,0.0826,0.0000,0.0003,0.0811,0.0001,200,0.0029
0.1636,0.0814,0.0000,0.0011,0.0809,0.0000,200,0.0034
0.1641,0.0818,0.0000,0.0009,0.0813,0.0001,200,0.0029
0.1634,0.0811,0.0000,0.0011,0.0810,0.0001,200,0.0036
0.1640,0.0829,0.0000,0.0000,0.0810,0.0001,200,0.0030
0.1635,0.0813,0.0000,0.0015,0.0805,0.0001,200,0.0036
0.1642,0.0814,0.0000,0.0013,0.0812,0.0001,200,0.0029
0.1639,0.0812,0.0000,0.0016,0.0810,0.0002,200,0.0032
0.1640,0.0825,0.0000,0.0002,0.0811,0.0001,200,0.0036
0.1643,0.0815,0.0000,0.0011,0.0816,0.0001,200,0.0033
0.1642,0.0827,0.0000,0.0001,0.0814,0.0000,200,0.0034
0.1643,0.0814,0.0000,0.0009,0.0819,0.0000,200,0.0034
