response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1190,0.0599,0.0000,0.0002,0.0586,0.0002,200,0.0009
0.1201,0.0614,0.0000,0.0001,0.0584,0.0001,200,0.0016
0.1201,0.0624,0.0000,0.0001,0.0574,0.0001,200,0.0018
0.1383,0.0673,0.0000,0.0005,0.0702,0.0002,200,0.0028
0.1384,0.0677,0.0000,0.0002,0.0704,0.0001,200,0.0028
0.1390,0.0681,0.0000,0.0002,0.0704,0.0001,200,0.0022
0.1396,0.0683,0.0000,0.0001,0.0710,0.0002,200,0.0018
0.1403,0.0682,0.0000,0.0001,0.0719,0.0001,200,0.0021
0.1403,0.0682,0.0000,0.0002,0.0718,0.0001,200,0.0022
0.1437,0.0683,0.0000,0.0002,0.0750,0.0001,200,0.0016
0.1437,0.0683,0.0000,0.0002,0.0751,0.0001,200,0.0019
0.1431,0.0678,0.0000,0.0000,0.0752,0.0001,200,0.0025
0.1437,0.0684,0.0000,0.0002,0.0750,0.0001,200,0.0020
0.1443,0.0685,0.0000,0.0001,0.0756,0.0001,200,0.0020
0.1438,0.0680,0.0000,0.0000,0.0756,0.0001,200,0.0024
0.1434,0.0677,0.0000,0.0003,0.0753,0.0001,200,0.0029
0.1450,0.0689,0.0000,0.0002,0.0758,0.0001,200,0.0014
0.1437,0.0679,0.0000,0.0002,0.0755,0.0001,200,0.0027
0.1453,0.0690,0.0000,0.0005,0.0755,0.0001,200,0.0012
0.1454,0.0688,0.0000,0.0002,0.0761,0.0001,200,0.0010
0.1449,0.0684,0.0000,0.0001,0.0764,0.0000,200,0.0016
0.1474,0.0704,0.0000,0.0001,0.0768,0.0001,200,0.0033
0.1477,0.0705,0.0000,0.0001,0.0770,0.0001,200,0.0031
0.1492,0.0689,0.0000,0.0001,0.0802,0.0001,200,0.0016
0.1500,0.0692,0.0000,0.0000,0.0804,0.0001,200,0.0008
0.1483,0.0681,0.0000,0.0002,0.0799,0.0001,200,0.0025
0.1496,0.0686,0.0000,0.0001,0.0807,0.0001,200,0.0013
0.1495,0.0688,0.0000,0.0002,0.0803,0.0002,200,0.0014
0.1495,0.0688,0.0000,0.0001,0.0800,0.0002,200,0.0014
0.1514,0.0706,0.0000,0.0001,0.0806,0.0001,200,0.0031
0.1527,0.0687,0.0000,0.0001,0.0838,0.0000,200,0.0019
0.1514,0.0704,0.0000,0.0001,0.0807,0.0002,200,0.0032
0.1517,0.0710,0.0000,0.0000,0.0806,0.0001,200,0.0030
0.1529,0.0687,0.0000,0.0002,0.0839,0.0001,200,0.0018
0.1535,0.0693,0.0000,0.0000,0.0840,0.0001,200,0.0013
0.1528,0.0686,0.0000,0.0001,0.0838,0.0002,200,0.0021
0.1544,0.0753,0.0000,0.0008,0.0782,0.0001,200,0.0035
0.1553,0.0713,0.0000,0.0001,0.0838,0.0001,200,0.0026
0.1561,0.0689,0.0000,0.0001,0.0871,0.0000,200,0.0018
0.1550,0.0710,0.0000,0.0000,0.0838,0.0001,200,0.0030
0.1554,0.0710,0.0000,0.0001,0.0841,0.0001,200,0.0025
0.1545,0.0751,0.0000,0.0006,0.0787,0.0001,200,0.0035
0.1548,0.0707,0.0000,0.0000,0.0840,0.0001,200,0.0032
0.1565,0.0690,0.0000,0.0000,0.0872,0.0002,200,0.0016
