response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1154,0.0577,0.0000,0.0002,0.0573,0.0001,200,0.0020
0.1193,0.0592,0.0000,0.0002,0.0596,0.0002,200,0.0010
0.1223,0.0598,0.0000,0.0002,0.0622,0.0001,200,0.0016
0.1252,0.0600,0.0000,0.0003,0.0647,0.0001,200,0.0019
0.1276,0.0606,0.0000,0.0001,0.0665,0.0001,200,0.0011
0.1271,0.0620,0.0000,0.0002,0.0647,0.0001,200,0.0022
0.1320,0.0654,0.0000,0.0002,0.0661,0.0001,200,0.0024
0.1366,0.0656,0.0000,0.0001,0.0708,0.0001,200,0.0025
0.1365,0.0653,0.0000,0.0002,0.0710,0.0001,200,0.0027
0.1371,0.0653,0.0000,0.0001,0.0715,0.0001,200,0.0022
0.1367,0.0652,0.0000,0.0002,0.0711,0.0001,200,0.0026
0.1370,0.0657,0.0000,0.0002,0.0710,0.0001,200,0.0023
0.1367,0.0651,0.0000,0.0000,0.0715,0.0001,200,0.0027
0.1374,0.0659,0.0000,0.0001,0.0712,0.0002,200,0.0020
0.1372,0.0653,0.0000,0.0001,0.0715,0.0003,200,0.0022
0.1409,0.0661,0.0000,0.0001,0.0743,0.0001,200,0.0012
0.1401,0.0658,0.0000,0.0001,0.0740,0.0001,200,0.0022
0.1410,0.0664,0.0000,0.0002,0.0741,0.0001,200,0.0013
0.1403,0.0659,0.0000,0.0003,0.0740,0.0001,200,0.0020
0.1438,0.0664,0.0000,0.0002,0.0770,0.0001,200,0.0015
0.1438,0.0663,0.0000,0.0002,0.0772,0.0001,200,0.0016
0.1470,0.0753,0.0000,0.0001,0.0715,0.0001,200,0.0039
0.1515,0.0753,0.0000,0.0003,0.0757,0.0001,200,0.0040
0.1515,0.0751,0.0000,0.0005,0.0757,0.0001,200,0.0040
0.1531,0.0694,0.0000,0.0001,0.0834,0.0001,200,0.0025
0.1548,0.0691,0.0000,0.0001,0.0854,0.0001,200,0.0029
0.1550,0.0797,0.0000,0.0001,0.0751,0.0001,200,0.0028
0.1545,0.0793,0.0000,0.0001,0.0750,0.0001,200,0.0033
0.1555,0.0695,0.0000,0.0001,0.0858,0.0001,200,0.0023
0.1565,0.0663,0.0000,0.0001,0.0899,0.0001,200,0.0014
0.1554,0.0697,0.0000,0.0001,0.0855,0.0001,200,0.0025
0.1545,0.0787,0.0000,0.0001,0.0754,0.0003,200,0.0035
0.1570,0.0759,0.0000,0.0001,0.0808,0.0001,200,0.0029
0.1568,0.0794,0.0000,0.0002,0.0771,0.0001,200,0.0033
0.1570,0.0760,0.0000,0.0000,0.0808,0.0001,200,0.0031
0.1578,0.0700,0.0000,0.0001,0.0877,0.0001,200,0.0023
0.1575,0.0766,0.0000,0.0005,0.0802,0.0001,200,0.0026
0.1582,0.0758,0.0000,0.0004,0.0819,0.0001,200,0.0036
0.1595,0.0803,0.0000,0.0003,0.0787,0.0001,200,0.0023
0.1593,0.0655,0.0000,0.0002,0.0935,0.0001,200,0.0025
0.1593,0.0696,0.0000,0.0002,0.0894,0.0001,200,0.0025
0.1601,0.0828,0.0000,0.0000,0.0772,0.0001,200,0.0039
0.1615,0.0794,0.0000,0.0001,0.0819,0.0001,200,0.0027
0.1603,0.0827,0.0000,0.0001,0.0775,0.0001,200,0.0038
0.1603,0.0825,0.0000,0.0001,0.0775,0.0001,200,0.0039
0.1612,0.0786,0.0000,0.0004,0.0821,0.0001,200,0.0030
0.1612,0.0691,0.0000,0.0001,0.0919,0.0001,200,0.0030
0.1613,0.0764,0.0000,0.0000,0.0847,0.0001,200,0.0030
0.1603,0.0823,0.0000,0.0004,0.0775,0.0001,200,0.0040
0.1605,0.0824,0.0000,0.0001,0.0779,0.0000,200,0.0039
0.1627,0.0832,0.0000,0.0000,0.0794,0.0001,200,0.0035
0.1631,0.0691,0.0000,0.0002,0.0937,0.0001,200,0.0031
0.1625,0.0826,0.0000,0.0000,0.0797,0.0001,200,0.0038
0.1642,0.0700,0.0000,0.0002,0.0940,0.0001,200,0.0021
0.1654,0.0692,0.0000,0.0001,0.0960,0.0001,200,0.0028
0.1644,0.0854,0.0000,0.0001,0.0788,0.0001,200,0.0040
0.1663,0.0843,0.0000,0.0002,0.0818,0.0001,200,0.0021
0.1644,0.0853,0.0000,0.0001,0.0789,0.0001,200,0.0040
0.1652,0.0832,0.0000,0.0002,0.0818,0.0000,200,0.0033
0.1657,0.0694,0.0000,0.0001,0.0962,0.0000,200,0.0028
0.1661,0.0653,0.0000,0.0002,0.1006,0.0000,200,0.0024
0.1653,0.0829,0.0000,0.0001,0.0822,0.0000,200,0.0033
0.1653,0.0762,0.0000,0.0003,0.0888,0.0000,200,0.0033
0.1652,0.0859,0.0000,0.0001,0.0791,0.0000,200,0.0035
0.1659,0.0834,0.0000,0.0001,0.0822,0.0001,200,0.0029
0.1648,0.0856,0.0000,0.0000,0.0790,0.0001,200,0.0040
0.1666,0.0785,0.0000,0.0006,0.0874,0.0001,200,0.0022
0.1673,0.0793,0.0000,0.0007,0.0872,0.0001,200,0.0034
0.1676,0.0835,0.0000,0.0001,0.0839,0.0001,200,0.0031
0.1674,0.0755,0.0000,0.0001,0.0917,0.0001,200,0.0034
0.1676,0.0759,0.0000,0.0007,0.0909,0.0000,200,0.0032
0.1678,0.0834,0.0000,0.0000,0.0842,0.0001,200,0.0030
0.1677,0.0832,0.0000,0.0002,0.0842,0.0001,200,0.0031
0.1675,0.0860,0.0000,0.0001,0.0813,0.0000,200,0.0034
0.1681,0.0763,0.0000,0.0001,0.0915,0.0002,200,0.0028
0.1677,0.0762,0.0000,0.0003,0.0912,0.0000,200,0.0032
0.1691,0.0703,0.0000,0.0000,0.0986,0.0000,200,0.0018
0.1687,0.0699,0.0000,0.0000,0.0987,0.0001,200,0.0023
0.1673,0.0857,0.0000,0.0001,0.0815,0.0000,200,0.0037
0.1681,0.0763,0.0000,0.0005,0.0913,0.0000,200,0.0030
0.1678,0.0759,0.0000,0.0001,0.0917,0.0001,200,0.0033
0.1688,0.0697,0.0000,0.0001,0.0989,0.0000,200,0.0023
0.1709,0.0796,0.0000,0.0001,0.0910,0.0001,200,0.0028
0.1700,0.0857,0.0000,0.0001,0.0840,0.0001,200,0.0037
0.1713,0.0765,0.0000,0.0001,0.0946,0.0001,200,0.0024
0.1710,0.0798,0.0000,0.0002,0.0909,0.0001,200,0.0027
0.1706,0.0762,0.0000,0.0001,0.0942,0.0001,200,0.0032
0.1703,0.0861,0.0000,0.0000,0.0841,0.0001,200,0.0035
0.1700,0.0857,0.0000,0.0000,0.0842,0.0000,200,0.0039
0.1719,0.0875,0.0000,0.0000,0.0842,0.0001,200,0.0021
0.1713,0.0765,0.0000,0.0001,0.0947,0.0000,200,0.0026
0.1711,0.0796,0.0000,0.0007,0.0906,0.0000,200,0.0029
0.1712,0.0835,0.0000,0.0001,0.0876,0.0000,200,0.0029
0.1722,0.0862,0.0000,0.0001,0.0858,0.0001,200,0.0034
0.0587,0.0000,0.0000,0.0001,0.0580,0.0006,200,0.1174
0.1725,0.0858,0.0000,0.0001,0.0859,0.0006,200,0.0037
0.1731,0.0821,0.0000,0.0001,0.0902,0.0007,200,0.0032
0.1743,0.0773,0.0000,0.0003,0.0958,0.0007,200,0.0020
0.1774,0.0695,0.0000,0.0001,0.1077,0.0001,200,0.0026
0.1781,0.0773,0.0000,0.0001,0.1006,0.0001,200,0.0020
0.0598,0.0000,0.0000,0.0001,0.0595,0.0001,200,0.1204
0.0568,0.0000,0.0000,0.0000,0.0566,0.0001,200,0.1239
0.1790,0.0830,0.0000,0.0001,0.0957,0.0001,200,0.0033
0.0570,0.0000,0.0000,0.0000,0.0567,0.0001,200,0.1271
0.0575,0.0000,0.0000,0.0000,0.0573,0.0001,200,0.1287
0.0570,0.0000,0.0000,0.0001,0.0568,0.0001,200,0.1292
0.0581,0.0000,0.0000,0.0001,0.0578,0.0001,200,0.1344
